epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,0.857678,1.58088,3.79041,4.19024,0.00806,13.163,0.00756,0.13248,0.01198,0.00956,0.00738,0.11325,0.04066,0.01391,1.11682,2.93944,3.66463,0.01349,0,5e-05,5e-05,5e-05
2,1.3649,1.57603,3.79629,4.24524,0.00799,13.2163,0.00903,0.13248,0.02575,0.01244,0.00486,0.1047,0.00781,0.00564,1.01647,2.58163,3.64603,0.01142,0,0.000111386,0.000111386,0.000111386
3,2.00994,1.46195,3.24093,4.16559,0.00689,12.9564,0.00664,0.1047,0.01115,0.00312,0.00069,0.07692,0.00266,0.0018,1.06564,2.59987,3.63312,0.01127,0,0.000171535,0.000171535,0.000171535
4,2.55014,1.35785,2.93445,4.07534,0.00611,12.4512,0.00747,0.17094,0.00806,0.00291,0.12926,0.15316,0.00676,0.00142,1.08649,3.09533,3.58244,0.01181,0,0.000230446,0.000230446,0.000230446
5,3.06184,1.2429,2.74463,3.94467,0.00564,11.8186,0.09154,0.29419,0.01206,0.00461,0.08646,0.19162,0.00686,0.00284,1.04608,3.40761,3.54084,0.01186,0,0.00028812,0.00028812,0.00028812
6,3.57363,1.25672,2.65235,3.88137,0.00551,11.5466,0.07917,0.33197,0.01984,0.00618,0.07538,0.2294,0.01164,0.00313,1.06088,3.39072,3.52777,0.01239,0,0.000344556,0.000344556,0.000344556
7,4.16486,1.22621,2.57041,3.7883,0.00532,10.824,0.03764,0.40829,0.02947,0.01158,0.03701,0.38051,0.02815,0.00885,1.15457,2.87965,3.47276,0.0152,0,0.000399755,0.000399755,0.000399755
8,4.67944,1.24377,2.54396,3.68609,0.00539,10.2877,0.03101,0.54017,0.03391,0.01221,0.03002,0.48462,0.03532,0.01111,1.31878,3.12939,3.4455,0.0181,0,0.000453716,0.000453716,0.000453716
9,5.18681,1.31855,2.52612,3.67991,0.00587,10.137,0.02262,0.54103,0.03936,0.0147,0.01859,0.45547,0.02743,0.01143,1.33381,3.04472,3.50147,0.01878,0,0.00050644,0.00050644,0.00050644
10,5.73172,1.25875,2.29615,3.55124,0.0055,9.46478,0.01829,0.66068,0.08071,0.03843,0.01746,0.60513,0.08017,0.04468,1.15064,3.21843,3.48504,0.01502,0,0.000557926,0.000557926,0.000557926
11,6.31292,1.22285,2.31063,3.47442,0.00537,9.16696,0.01452,0.64222,0.10717,0.0487,0.01354,0.60444,0.09493,0.05575,1.04843,3.45942,3.47403,0.01286,0,0.000608175,0.000608175,0.000608175
12,6.84125,1.22981,2.29158,3.40531,0.00562,8.7449,0.01388,0.64222,0.10511,0.05912,0.01293,0.60444,0.10398,0.06374,1.11643,3.43324,3.43317,0.01348,0,0.000657186,0.000657186,0.000657186
13,7.35214,1.20911,2.20679,3.33865,0.00533,8.34541,0.01353,0.64222,0.09313,0.05842,0.01258,0.60444,0.11118,0.062,1.13733,3.64351,3.36751,0.01342,0,0.00070496,0.00070496,0.00070496
14,7.83594,1.20645,2.21985,3.23089,0.00586,7.8873,0.01353,0.64222,0.09313,0.05842,0.01258,0.60444,0.11118,0.062,1.13733,3.64351,3.36751,0.01342,0,0.000751496,0.000751496,0.000751496
15,8.34547,1.31415,2.36659,3.2063,0.00572,7.70995,0.01374,0.66,0.10116,0.0543,0.01319,0.61444,0.11174,0.05694,1.12895,3.76261,3.38597,0.01373,0,0.000796795,0.000796795,0.000796795
16,8.91964,1.21712,2.25508,3.06229,0.00569,7.32924,0.01289,0.62222,0.10299,0.05687,0.01237,0.59444,0.09774,0.05991,1.04657,3.80402,3.39178,0.01209,0,0.000840856,0.000840856,0.000840856
17,9.42545,1.21583,2.28761,3.07179,0.00555,7.11735,0.84253,0.07,0.10936,0.06065,0.84582,0.07,0.1013,0.06655,0.97207,3.34032,3.38587,0.01123,0,0.00088368,0.00088368,0.00088368
18,9.91375,1.20067,2.02869,2.92387,0.00606,6.71388,0.84253,0.07,0.10936,0.06065,0.84582,0.07,0.1013,0.06655,0.97207,3.34032,3.38587,0.01123,0,0.000925266,0.000925266,0.000925266
19,10.4338,1.22808,2.21628,2.93936,0.00545,6.5831,0.83615,0.07,0.09376,0.04963,0.82376,0.07,0.08309,0.0528,1.0314,3.67044,3.25419,0.01218,0,0.000965615,0.000965615,0.000965615
20,11.0286,1.20864,2.17849,2.81029,0.00552,6.22551,0.88313,0.06,0.08179,0.04699,0.88313,0.06,0.06706,0.04552,1.04124,3.40785,3.22841,0.01275,0,0.00100473,0.00100473,0.00100473
21,11.5301,1.24672,2.19791,2.82027,0.00572,5.89115,0.88313,0.06,0.08179,0.04699,0.88313,0.06,0.06706,0.04552,1.04124,3.40785,3.22841,0.01275,0,0.0010025,0.0010025,0.0010025
22,12.0337,1.18522,2.12005,2.72645,0.0057,5.72268,0.82414,0.06335,0.08542,0.053,0.87661,0.06,0.0743,0.04709,1.03277,3.08712,3.26439,0.01189,0,0.000990125,0.000990125,0.000990125
23,12.5542,1.24814,2.20416,2.713,0.00544,5.54087,0.57188,0.09778,0.13851,0.11309,0.56774,0.09778,0.05799,0.04316,0.97133,3.10108,3.29585,0.01126,0,0.00097775,0.00097775,0.00097775
24,13.0601,1.16581,2.16473,2.68374,0.00563,5.10479,0.57188,0.09778,0.13851,0.11309,0.56774,0.09778,0.05799,0.04316,0.97133,3.10108,3.29585,0.01126,0,0.000965375,0.000965375,0.000965375
25,13.5931,1.26563,2.20961,2.69756,0.00526,4.99792,0.53213,0.06026,0.12602,0.09838,0.53213,0.06026,0.12301,0.05406,1.01983,2.77263,3.33382,0.01183,0,0.000953,0.000953,0.000953
26,14.1696,1.17346,2.00921,2.64159,0.00528,4.8784,0.53213,0.06026,0.12602,0.09838,0.53213,0.06026,0.12301,0.05406,1.01983,2.77263,3.33382,0.01183,0,0.000940625,0.000940625,0.000940625
